#    ID      VHEL       FLX      FLXC        mI
   1652    5139.0      4.64      5.44     13.57
   1663    3435.0      4.71      5.95     13.70
   1682    4984.0      3.19      3.57     13.47
   1700    4240.0      5.08      5.55     15.38
   1706    4789.0      2.68      2.99     13.17
   1726    5275.0      7.73      9.23     13.17
   1729    4445.0      5.48      6.61     14.65
   1738    5686.0      3.39      3.43     14.11
   1744    4817.0      4.97      6.54     12.15
   1746    6045.0      5.08      6.10     13.78
   1768    3913.0     27.60     38.63     10.77
   1777    4726.0      3.13      3.46     14.64
   1785    5802.0      2.57      2.95     15.59
   1792    4985.0      8.07     11.37     12.32
   1811    7835.0      1.70      1.95     13.80
   1812    4526.0      2.99      3.32     13.25
   1814    4105.0      7.96     11.13     12.23
   1834    3804.0      3.17      3.70     14.83
   1835    5087.0      8.88     11.55     11.95
   1862    1384.0      3.38      3.50     12.24
   1867    5192.0      3.91      3.98     13.58
   1887    5536.0      7.00      7.19     12.33
   1938    6401.0      4.11      4.70     13.36
   1957    5299.0      4.97      5.03     13.86
   1958    1015.0      4.15      4.74     14.84
   1995    7294.0      5.67      6.79     13.20
   1998    6330.0      3.80      4.35     14.54
   2004    6549.0      3.27      3.80     13.02
   2020    5559.0      4.52      5.21     14.36
   2028    5429.0      7.01      8.13     12.54
   2064    4264.0      6.61      9.14     12.15
   2076    7853.0      3.22      3.63     14.84
   2081    2614.0      6.42     10.11     13.12
   2083    4696.0      4.04      4.70     12.87
   2085    6781.0      2.51      2.83     14.28
   2091    6585.0      6.46      7.66     13.67
   2096    7907.0      2.69      2.99     14.54
   2135    4464.0      2.16      2.20     13.43
   2138    5125.0     11.28     13.21     12.59
   2167    5428.0      2.52      2.83     13.49
   2185    4353.0      9.51     10.01     12.07
   2197    5100.0      6.30      8.14     13.00
   2205    5484.0      1.81      2.05     13.47
   2220    7515.0      2.99      3.31     13.39
   2223    4984.0      2.73      3.04     13.55
   2239    4825.0      2.03      2.39     13.37
   2241    6790.0     12.79     18.34     11.95
   2258    4041.0     15.73     15.99     12.47
   2272    5654.0      6.17      7.44     12.36
   2283    6468.0      1.61      1.77     13.68
   2313    5752.0      1.26      1.28     13.67
   2315    5551.0      4.48      4.93     14.19
   2338    4502.0      6.82      8.17     13.06
   2387    7750.0      4.08      4.79     14.05
   2392    1544.0      6.01      7.29     13.53
   2424    6978.0      5.38      6.97     12.33
   2435    4849.0      8.31     12.22     12.63
   2443    2519.0      1.70      1.74     12.79
   2461    6801.0      1.98      2.21     13.75
   2483    6222.0      5.32      6.15     14.23
   2485    2013.0      5.69      5.80     14.17
   2498    6934.0      3.89      4.63     13.59
   2518    7012.0      5.84      6.53     13.87
   2520    4212.0      5.00      5.85     13.50
   2525    6230.0      8.48      9.27     13.36
   2548    4789.0      3.69      5.50     11.64
   2550    4032.0      4.67      5.60     13.27
   2586    4563.0     18.68     19.15     12.05
   2609    4952.0      6.71      7.67     12.57
   2617    4701.0     16.11     16.78     12.48
   2630    5062.0      2.60      2.84     13.75
   2633    5661.0      3.11      3.58     13.55
   2637    5121.0      3.00      3.42     14.00
   2678    5590.0      2.61      3.29     12.42
   2679    6642.0     10.77     13.67     12.98
   2685    5042.0      9.72     13.26     12.07
   2690    6273.0      8.47      8.56     13.23
   2709    5143.0     12.99     20.17     12.31
   2736    5894.0      3.39      3.44     12.24
   2742    4464.0      1.99      2.01     13.51
   2750    4880.0      3.24      3.73     13.21
   2798    4944.0      4.28      4.38     12.12
   2801    6015.0      4.11      4.16     13.66
   2838    5977.0      3.55      4.00     14.16
   2849    8142.0     10.02     10.25     13.00
   2860    4245.0      3.91      3.95     14.43
   2868    5427.0      1.38      1.62     13.58
   2878    5398.0      7.85      7.90     14.00
