#    ID      VHEL       FLX      FLXC        mI
  10475    9485.0      2.16      2.37     13.97
  10521     852.0     30.12     30.49     10.83
  10542    5914.0      5.40      5.46     13.15
  10550    9035.0      8.25      8.32     13.96
  10560    5253.0      7.83      8.05     12.11
  10564    1132.0     33.62     34.02     12.80
  10571    6593.0      4.20      4.23     13.48
  10582   11136.0      4.06      4.47     14.30
  10596   12097.0      2.38      2.70     14.23
  10619    5340.0      2.15      2.17     14.70
  10632    4249.0      5.07      5.15     14.51
  10641    5564.0      5.30      5.35     14.75
  10661   10191.0      5.57      6.08     13.85
  10684    3415.0     14.00     14.23     12.77
  10790    2109.0     14.61     14.81     11.64
  10801    4556.0      3.37      3.93     14.34
  10876    1163.0     11.56     11.65     12.14
  10881    3179.0      7.35      7.47     13.14
  10934    2488.0     14.44     14.85     11.76
  10951    6331.0      4.99      5.05     12.76
  10998    6778.0      7.42      7.53     11.73
  11016    6491.0      4.57      5.17     14.08
  11050    4861.0      5.05      5.81     13.76
  11073    6424.0      9.47     10.98     12.96
  11085    5484.0      4.35      4.45     12.88
  11091    7220.0      2.51      2.80     13.67
  11101    5860.0      4.19      4.22     14.04
  11125    6026.0      3.80      4.57     11.98
  11140    2816.0     15.55     15.96     13.82
  11176    6717.0      3.70      3.75     13.80
  11194    4731.0      8.74     10.55     12.05
  11218    1484.0     36.59     37.29     10.02
  11236    5759.0     13.28     13.57     12.30
  11237    5326.0      7.09      8.24     13.17
  11262    5557.0      6.40      6.49     13.49
  11286    6798.0     16.29     16.33     13.03
  11297    5847.0      6.13      6.91     13.52
  11300     489.0     37.34     38.05     11.22
  11305    2500.0      8.88      9.17     11.34
  11307    3145.0      9.65     11.05     13.34
  11320    4810.0      6.63      7.89     12.60
  11323    4111.0      6.34      7.38     13.10
  11341    5830.0      4.40      4.44     13.47
  11351    4588.0      5.68      6.71     11.76
  11390    4829.0      2.80      2.82     13.90
  11435    3744.0      7.86      8.00     12.53
  11438    3989.0     15.02     15.18     13.00
  11443    4361.0      6.31      6.38     12.23
  11455    5393.0     10.96     11.33     12.05
  11459    3122.0     22.01     22.18     11.48
  11473    4652.0     12.01     12.34     12.76
  11475    3248.0      2.95      2.99     13.38
  11492    3564.0      7.01      7.05     11.92
  11537    5421.0     25.20     25.81     11.71
  11551    4876.0      6.79      7.93     12.36
  11552    4523.0     11.73     14.34     12.31
  11554    3099.0     11.48     11.55     11.54
  11571    4758.0      8.86     10.88     12.76
  11579    5902.0      2.93      3.31     13.41
  11611    5417.0      5.92      6.74     13.88
  11613    2668.0      9.06      9.13     14.07
  11633    4691.0      0.59      0.65     12.35
  11650    9064.0      6.11      6.91     13.56
  11656    4577.0      3.19      3.48     14.12
  11662    5303.0      4.16      4.65     12.42
  11683    5034.0      2.53      2.83     13.33
  11713    4769.0      7.10      8.24     14.52
  11723    4896.0      6.38      7.50     12.91
  11724    6203.0      9.49     11.08     13.58
  11729    4629.0      2.48      2.75     15.51
  11790    4545.0      4.07      4.90     12.73
  11792    4812.0      3.83      4.41     13.02
  11809   10887.0      3.25      3.57     13.03
  11810    4719.0      9.40     11.65     12.77
  11837    5335.0      3.12      3.63     12.98
  11849    5840.0      5.04      6.08     12.56
  11855    5602.0      4.68      5.35     12.71
  11876    3968.0      3.15      3.43     14.80
  11896    7658.0      2.75      3.05     13.61
  11919    5370.0      7.22      7.37     12.17
  11941    6849.0      1.83      2.01     14.85
  11955    5357.0      7.00      7.05     13.41
  11973    4215.0     19.69     20.63     11.16
  11982    4810.0      5.50      6.15     14.19
  11983    4901.0      2.21      2.41     13.56
  11994    4877.0      7.03      9.02     12.47
  12075    5366.0     11.18     11.37     13.22
  12093    8327.0      4.23      4.91     13.24
  12122    1339.0      7.79     10.61     10.92
  12134    7346.0      6.32      7.56     12.93
  12135    4075.0      9.00      9.09     13.70
  12141    2091.0     12.20     12.30     13.76
  12142    7501.0      5.34      6.08     13.48
  12159    7287.0      1.26      1.40     12.60
  12160    1554.0     32.60     33.78     12.15
  12172    7570.0      4.10      4.60     13.13
  12173    4777.0      5.38      6.97     11.84
  12197    7466.0      3.80      4.21     14.36
  12230    6426.0      8.65     10.93     12.27
  12260    5542.0      3.42      3.99     14.32
  12278    5773.0      2.64      2.93     13.65
  12291    7762.0      3.75      4.51     13.66
  12294    2193.0     25.16     34.63     10.83
  12295    4827.0      4.23      4.87     13.30
  12299    6681.0      2.67      2.96     12.87
  12308    2221.0     16.72     21.61     13.30
  12321    2160.0      4.97      5.42     15.24
  12325    5926.0      3.10      3.59     13.10
  12331    5793.0      2.20      2.43     13.64
  12343    2381.0     42.95     44.21      9.89
  12354    3892.0      3.16      3.49     13.63
  12355    7720.0      2.76      3.07     14.53
  12358    5320.0      0.69      0.75     14.08
  12370    4895.0      6.83      7.80     13.81
  12378    6241.0     12.49     16.11     12.43
  12382    3497.0      3.59      3.98     14.55
  12392    1707.0     55.33     56.47     11.09
  12403    4523.0      5.88      6.50     14.80
  12417    3488.0      3.55      3.94     12.75
  12421    4053.0     13.52     13.68     13.01
  12423    4861.0     13.47     20.17     12.31
  12427    3695.0      4.79      5.28     14.38
  12429    4281.0      3.27      3.90     13.62
  12441    6967.0      1.96      2.14     14.81
  12442    2679.0     20.94     25.63     12.18
  12447    2692.0     35.36     53.61     10.56
  12459    8002.0      2.20      2.43     14.11
  12486    4958.0     16.26     19.75     11.87
  12494    4193.0      5.66      6.50     13.99
  12498    4181.0      2.06      2.37     12.64
  12504    2441.0      7.42      7.56     13.99
  12511    3554.0     22.88     35.45     12.53
  12521    3630.0      4.00      4.06     12.73
  12527    4275.0      3.59      3.99     12.00
  12538    4904.0      3.00      3.28     13.24
  12539    3756.0      3.48      4.18     11.92
  12543    5984.0      2.59      2.83     13.45
  12555    4920.0      4.62      5.09     14.80
  12593    4972.0      4.24      4.92     13.26
  12598    3474.0     26.74     27.10     11.69
  12618    5142.0      5.53      6.73     12.02
  12631    9179.0      3.82      4.20     13.19
  12634    5456.0      5.29      5.35     14.03
  12641    2692.0      4.94      5.43     14.01
  12644    5490.0      3.96      4.51     13.54
  12654    4041.0      7.76     10.87     11.81
  12658    9503.0      1.76      1.98     14.65
  12664    6619.0      3.26      3.66     14.14
  12667    3793.0      5.67      6.72     12.31
  12673    4201.0      1.78      1.94     15.22
  12675    3036.0      1.01      1.10     14.07
  12678    8955.0      1.45      1.61     13.38
  12701    8855.0      0.81      0.88     14.41
  12705    3969.0     11.73     13.87     14.09
  12712    9443.0      1.37      1.55     12.83
  12721    7603.0      6.21      7.15     12.81
  12746    7437.0      5.60      6.32     13.24
  12755    8800.0      2.04      2.44     12.44
  12772    7684.0      2.49      2.93     12.25
  12777    2930.0     15.55     18.52     11.92
  12780    5169.0     12.26     20.10     10.99
  12781    4855.0      1.96      2.18     12.99
  12787    6745.0      2.33      2.54     13.38
  12792   11517.0      2.64      3.06     13.05
  12799    5314.0      8.40      9.59     14.75
  12803    8942.0      1.82      2.15     12.36
  12810    8110.0      5.69      6.80     12.62
  12814    5792.0      2.20      2.21     13.97
  12816    5322.0      9.61     11.78     13.21
  12817    9272.0      2.07      2.30     13.54
  12818    5564.0      4.76      5.42     13.13
  12844    7896.0      3.47      4.03     13.95
  12864    4686.0     10.60     12.91     12.95
  12871    6411.0      2.60      2.93     13.23
  12886    6630.0      4.60      5.53     13.62
  12888    5050.0      7.27      7.35     13.31
  12898    4780.0      4.32      4.74     15.23
  12901    6895.0      3.79      4.53     12.84
  20471    1551.0     17.23     17.46     13.05
  20649    6376.0     15.43     15.55     12.08
  20704    1999.0     16.68     16.99     11.52
  21687    5022.0      6.07      6.19     13.98
  21739    4315.0      7.35      7.40     12.66
  21882    4952.0     25.75     26.00     11.88
  22485    3950.0     17.03     17.16     12.29
  22974    4279.0      7.82      7.86     13.32
  23540    6271.0      6.22      6.36     12.91
  24033    4467.0      3.59      3.81     12.43
  24101    3565.0      4.84      5.58     14.29
  24452    3276.0     14.30     14.42     13.07
  24486    2732.0     20.09     20.59     12.85
  24532    3044.0     22.13     22.27     11.63
  24739    1392.0     22.68     22.93     13.60
  24745    1748.0     23.49     23.65     12.20
  24747    1836.0     52.80     53.75     10.95
  24966    6277.0     13.52     16.43     11.32
  24981    1703.0     25.73     26.35     11.53
  24990    2574.0     12.68     12.80     13.62
  25098    2256.0     14.72     14.90     11.55
  25162    2840.0     13.04     13.17     13.46
  25174    6294.0      4.53      4.73     13.13
  25251    2660.0     13.12     15.40     12.38
  25357    1711.0     23.86     24.15     12.86
  25484    2677.0     16.06     16.20     11.82
  26085    1775.0      7.73      7.80     13.35
  26138    1713.0     37.23     37.52     11.87
  26163    4581.0     31.87     32.37     11.52
  26262    1956.0     11.45     11.56     13.19
  26360    2122.0     11.87     11.98     11.84
  26380    2436.0     10.20     10.29     11.89
  26389    4428.0      5.99      6.62     12.48
  26634    4300.0     14.77     14.92     12.06
  26671    2790.0     16.83     17.05     10.42
  26697    3778.0     12.40     12.98     11.33
  26733    2664.0     19.61     19.77     12.63
  26740    2385.0     10.06     10.19     12.52
  26748    2810.0     30.06     30.64     12.24
  26794    3722.0      7.32      7.42     14.66
  26824    2793.0     22.54     22.88     11.06
  26841    4942.0      4.32      4.64     13.82
  26945    2611.0     22.50     22.94     12.03
  26964    3606.0     10.05     10.32     12.33
  27067    2893.0     19.51     20.07      9.75
  27187    3804.0     18.96     19.25     13.05
  27358    2772.0     26.86     27.14     10.92
  27386    4389.0      7.62      7.66     13.51
  27392    4414.0      4.07      4.44     12.61
  27404    3081.0      4.46      4.61     12.47
  27407    3885.0      3.00      3.02     13.38
  27441    5243.0      9.07      9.18     11.73
  27489    3465.0      4.04      4.05     13.89
  27566    2054.0     26.44     28.12     12.17
  27584    3426.0      1.55      1.66     12.51
  27596    3737.0     18.09     18.46     11.40
  27669    3619.0     12.07     12.13     12.52
  27689    3538.0      9.34      9.37     12.86
  27792    3367.0     14.07     14.17     11.98
  27904    7185.0      2.69      2.85     13.58
  28007    6625.0      2.16      2.27     12.80
  28033    7088.0      6.41      6.44     13.65
  28144    2021.0     16.83     17.09     11.09
  28169    1685.0      4.22      4.53     14.61
  28198    1710.0     80.46     82.84     10.73
  28289    2197.0     15.20     15.30     12.87
  28292    1660.0     10.82     10.89     13.42
  28345    1721.0     20.11     20.83     12.13
  28382    2167.0      5.22      5.42     13.43
  28471    4019.0     10.90     10.99     12.56
  28479    6854.0      1.38      1.49     14.20
  28485    3932.0      3.70      3.73     11.24
  28657    2952.0      8.85      8.91     12.02
  28771    3543.0      2.33      2.35     13.92
  28778    5300.0     15.28     15.43     11.92
  28906    3355.0      5.11      5.36     12.94
  29082    2808.0     12.90     13.21     12.77
  29140    3053.0      8.27      8.41     12.34
  29327    2960.0     11.24     11.33     12.66
  29366    6151.0      3.19      3.26     14.42
  29453    1946.0      4.50      4.99     13.90
  29511    2087.0     16.25     17.11     13.02
  29560    2260.0      5.10      5.13     12.49
  29565    4270.0      5.54      5.56     14.32
  29585    2656.0     13.96     14.17     11.32
  29603    5216.0      3.66      3.87     12.14
  29737    3464.0      8.08      9.16     13.54
  29872    2596.0     12.40     12.53     11.81
  29893    6721.0      3.90      4.01     12.31
  29955    7002.0      2.66      2.77     13.31
  30136    4860.0      7.46      7.49     14.01
  30158    5053.0     19.17     19.31     12.13
  30425    4768.0      7.76      7.82     12.71
  30457    6065.0      0.71      0.75     13.93
  30549    2755.0     10.69     10.77     12.71
  30573    3749.0      4.59      4.82     13.76
  30634    5986.0      4.76      4.78     13.79
  30669    2840.0     10.39     10.56     11.57
  30724    3775.0     19.74     20.07     12.29
  30772    4533.0      4.88      5.38     13.02
  30800    3300.0      2.99      3.01     14.14
  30851    2588.0      8.56      8.61     12.12
  30870    6338.0      7.16      7.37     13.59
  30872    6133.0      6.35      6.38     12.91
  30890    3258.0      9.27      9.32     12.65
  30906    3980.0      7.93      8.35     13.57
  30920    3517.0     23.03     23.23     12.55
  30954    3808.0      9.35      9.41     13.78
  31083    5422.0      4.46      4.59     13.96
  31112    6406.0      2.34      2.36     13.78
  31147    6947.0      7.06      7.38     14.02
  31161    3683.0      4.15      4.17     15.27
  31180    6054.0     11.78     11.81     13.89
  31181    2315.0     16.41     16.70     11.02
  31241    5767.0     14.31     14.41     12.18
  31248    6757.0      5.60      5.62     13.84
  31266    4571.0     10.94     10.99     12.51
  31271    5708.0      8.12      8.46     14.19
  31297    4513.0     20.20     20.28     13.07
  31331    5784.0      7.02      7.35     14.32
  31539    6639.0      9.32      9.35     14.16
  32665    6140.0      5.90      6.06     14.01
  32834    5855.0      2.45      2.57     14.55
  33086    2315.0     24.29     24.44     11.98
  33278    6132.0      8.67      8.81     13.75
  33316    3338.0      2.41      2.45     14.09
  33373    3051.0     12.99     13.08     12.14
  33397    3394.0      3.09      3.14     14.33
  33571    6150.0      5.29      5.79     14.40
  34682    3460.0      6.51      6.55     12.25
  34950    5202.0      9.92      9.97     12.79
  34977    1791.0      2.65      2.76     14.02
  35331    2674.0      8.61      8.65     14.52
  35733    3177.0     11.48     11.99     10.76
  36008    6136.0      7.52      9.01     12.65
  36357    5791.0      4.14      4.16     13.10
 100146    5799.0      3.02      3.31     13.12
 100151    5225.0      6.55      7.08     14.02
 100244    1383.0      3.45      3.66     14.65
 100269    5209.0      2.69      2.90     14.01
 100303    5182.0      2.46      2.68     13.96
 100364    5652.0      1.61      1.76     13.85
 100381    5182.0      1.90      2.06     14.86
 100561    5072.0      2.49      2.73     14.64
 110090    6821.0      1.83      1.97     14.62
 110255    4209.0      2.32      2.55     14.42
 110334    4141.0      1.41      1.51     14.27
 110363    6611.0      2.33      2.51     14.31
 110417   12231.0      0.36      0.39     13.84
 110463    4836.0      1.60      1.73     14.56
 110684    4848.0      2.16      2.34     14.79
 120005    5014.0      0.85      0.92     13.28
 120052    5203.0      3.71      4.04     14.07
 120082    4313.0      1.84      1.98     14.63
 120156    3787.0      2.06      2.21     14.58
 120257    4215.0      2.51      2.77     14.06
 120304    6465.0      1.61      1.73     14.50
 130341    5739.0      3.93      4.32     14.15
 200399    9711.0      0.39      0.47     14.69
 210681    4895.0      0.24      0.26     14.37
 221149    8103.0      0.20      0.21     13.55
 260183   11985.0      1.18      1.30     13.72
 260350   10177.0      1.21      1.34     13.79
 310136    4937.0      3.31      3.58     13.92
 310171    3740.0      2.23      2.42     13.54
 320193    6128.0      5.29      5.82     13.72
 320218    6451.0      2.28      2.47     13.74
 320308    5195.0      1.72      1.85     14.16
 320443    5658.0      2.88      3.11     12.21
 330078    3711.0      4.52      4.90     14.18
 330144    4714.0      2.78      3.02     14.49
 330179    3582.0      0.86      0.95     13.60
 330249    6059.0      1.74      1.87     14.08
 330260    3873.0      3.24      3.55     13.83
 330261    3937.0      5.75      6.27     14.16
 330449    5270.0      2.63      2.94     14.30
 330451    5710.0      3.92      4.30     14.09
 330453    6108.0      2.18      2.41     14.45
 330469    5183.0      1.97      2.15     13.13
 330529    5170.0      1.25      1.35     14.21
 330564    7115.0      0.49      0.53     13.45
 330581    9869.0      0.29      0.31     15.02
 330584   10295.0      0.54      0.57     14.85
 330598    9949.0      0.35      0.38     13.83
 330721    7601.0      1.49      1.58     14.52
 330765   11884.0      1.70      1.88     13.41
 330768    9400.0      4.52      4.94     13.04
 330778    7433.0      1.56      1.67     13.79
 330781    7718.0      2.10      2.25     14.39
 330923    9298.0      1.55      1.67     13.71
 330925    8302.0      2.27      2.44     14.46
 330958    8313.0      0.53      0.58     13.64
 330980    8125.0      0.64      0.68     13.84
 330986    7460.0      1.64      1.79     15.02
 330992    7949.0      0.46      0.50     13.70
 330996    7963.0      0.94      1.02     13.81
 331013    7505.0      0.33      0.37     13.63
 331021    7903.0      2.78      3.01     14.30
 331060    4461.0      1.86      2.04     15.20
 400001    6463.0      3.45      3.65     12.90
 400228    5329.0     10.24     10.52     12.77
 400257    6119.0      5.31      5.78     12.72
 400261    3553.0     22.30     22.82     12.81
 400265    4132.0     15.63     15.81     11.88
 400271    4035.0      3.40      3.46     12.82
 400274    6180.0      5.42      5.93     13.30
 400296    5034.0      3.20      3.26     12.93
 400305    4930.0      5.51      5.55     13.42
 400367    6825.0     12.50     12.56     13.46
 400375    5845.0      5.34      5.39     12.07
 400393    4046.0     32.45     32.89     11.44
 400411    5434.0     16.92     17.34     12.22
 400516    5659.0      1.54      1.57     13.14
 400521    5480.0      6.10      6.23     12.34
 410067    5748.0      7.30      7.68     12.10
 410080    5815.0      3.08      3.20     13.21
 410203    1959.0     16.63     16.85     12.22
 410352    5171.0      3.76      3.92     13.64
 410367    5505.0      6.10      6.28     13.16
 410384    5003.0     10.69     11.32     12.01
 410401    1639.0     30.78     31.40     11.79
 410414    4787.0      4.36      4.38     12.83
 420030    1931.0     17.32     17.74     11.68
 420037    2005.0     12.71     14.36     13.12
 420042    5038.0      7.75      7.89     14.40
 420056    4018.0      8.69      9.71     11.53
 420064    5254.0      3.32      3.92     11.27
 420067    4312.0     15.99     16.83     12.11
 420095    6886.0      3.55      3.93     13.36
 420105    2096.0      5.13      5.43     13.04
 420110    4487.0      6.00      6.06     11.02
 420143    4778.0     20.94     26.98     12.26
 420150    4765.0      7.18      7.50     12.27
 420158    4422.0      4.87      5.04     12.59
 420244    1411.0     67.94     77.19      9.81
 420260    3468.0     10.45     10.81     11.74
 420275    5321.0      6.52      6.78     13.10
 420340    2281.0     10.68     12.33     12.50
 430082    4026.0     26.62     29.50     10.75
 430088    3947.0     15.21     21.11     11.29
 430121    5448.0      4.14      4.16     14.24
 430371    4152.0     12.57     13.57     11.64
 430424    4125.0     14.70     15.03     11.06
 430438    2162.0     10.96     12.16     11.79
 430441    5630.0      5.42      5.60     12.88
 430459    1584.0      7.25      7.55     11.77
 430475    5326.0      2.02      2.13     13.67
 430536    3798.0     17.72     19.16     12.17
 430544    3987.0      3.95      4.43     12.48
 440168    4330.0      9.54      9.65     11.88
 440177    4776.0      5.04      5.73     13.00
 440292    4876.0     15.30     16.21     11.23
 440304    4766.0      9.22      9.31     11.68
 440309    5000.0     19.29     22.28     11.59
 440314    4964.0      1.76      1.77     12.98
 440326    4528.0      4.66      5.57     11.97
 440348    4671.0      5.48      5.73     11.80
 440373    4472.0      1.97      2.08     13.58
 440388    4527.0      8.05      8.27     12.65
 440399    5702.0      3.05      3.17     12.55
 440406    4920.0     16.00     18.23     13.32
 440415    5507.0      7.48      9.06     12.28
 440418    4110.0     11.46     11.57     12.87
 440441    3442.0      8.72      9.00     12.42
 440444    3674.0      7.23      7.53     12.97
 440448    3635.0     13.24     15.28     11.69
 450008    6853.0      4.37      4.71     13.54
 450033    1943.0     32.57     33.06     10.44
 450046    2823.0     16.86     17.38     12.11
 450056    3190.0     14.01     14.59     12.71
 450061    2541.0      9.99     10.96     11.47
 450071    7039.0      6.95      7.16     14.61
 450096    7154.0      2.29      2.60     12.80
 460001    2213.0      5.85      6.14     12.63
 460016    6179.0      7.72      7.86     13.10
 480016    4604.0      5.18      6.42     12.31
 480050    4313.0      4.81      5.22     12.90
 480063    3966.0      7.49      7.66     13.20
 480064    2910.0      4.80      5.14     12.30
 480066    5582.0     14.26     14.34     12.66
 480084    4858.0     11.96     12.92     12.78
 480085    2758.0     11.25     13.70     12.07
 480086    3717.0     18.90     23.62     11.63
 480088    5806.0      6.36      6.48     13.24
 490002    6471.0      6.77      7.55     12.74
 490006    1891.0     16.70     19.00     11.14
 490007    5832.0      4.16      4.83     12.32
 490097    2666.0      9.71     10.91     12.10
 490113    5365.0      4.46      4.58     12.62
 490128    4474.0      3.29      3.66     12.46
 490130    1852.0      6.25      6.95     13.57
 490136    5744.0     12.43     13.30     11.95
 490160    6589.0      4.47      4.92     12.80
 500011    4985.0      5.65      5.78     12.24
 500015    5016.0      6.08      6.62     13.27
 500163    2492.0     16.05     21.39     12.08
 500190    1914.0     12.25     12.37     11.90
 500203    6153.0      2.89      2.92     13.28
 500213    2462.0      7.22      8.04     12.71
 500216    4205.0     18.38     18.54     11.85
 500227    6678.0      4.00      4.14     13.90
 510008    7208.0      6.01      6.67     13.05
 510016    3930.0      9.65     10.41     13.39
 510058    5386.0     11.07     12.78     12.56
 510082    2119.0      4.63      4.67     11.60
 510089    6413.0      2.43      2.48     13.36
 510090    3660.0      5.40      5.71     13.97
 510097    5016.0      4.82      4.97     12.88
 510106    5034.0      4.60      5.58     13.72
 510118    5127.0      7.24      7.92     13.45
 520042    5436.0      5.47      5.83     13.27
 520051    2012.0     13.02     14.75     11.22
 520076    4843.0      4.99      5.39     12.71
 520117    4349.0      5.30      5.75     12.56
 520163    4293.0     22.99     23.60     11.54
 520292    3740.0      1.87      1.98     12.41
 520377    6454.0      3.80      4.08     13.39
 520402    3821.0      9.81     11.21     12.06
 520412    4655.0     11.03     13.33     12.15
 530005    4007.0      9.15     10.23     12.40
 530033    1678.0     35.14     35.99     10.41
 530053    2755.0     12.68     15.97     11.17
 530120    2903.0     14.28     15.00     12.16
 530258    4198.0      9.64     10.42     12.76
 530314    4269.0      7.27      7.69     13.51
 530342    2316.0     19.42     26.27     10.96
 530350    6485.0      9.59     10.64     12.40
 530379    4324.0     20.81     23.13     12.25
 540009    3320.0     18.71     19.75     12.35
 540063    4645.0     10.32     11.56     12.01
 540111    6767.0      7.81      7.83     13.50
 540131    2196.0     35.16     35.98     11.89
 540134    2145.0      9.10      9.79     11.29
 540149    6999.0      7.99      8.24     13.56
 540152    3014.0      5.73      6.21     12.37
 550029    1991.0     31.19     31.61     10.38
 560008    1575.0      7.65      8.78     13.76
 560012    1565.0     62.68     64.34     11.58
 590024    6000.0      9.61      9.70     12.57
 600042    5521.0      8.63      8.99     13.16
 600049    5755.0      4.47      4.59     12.75
 600084    5801.0      6.81      8.12     12.74
 600138    6013.0     14.80     15.04     12.96
 600180    6708.0      1.40      1.41     12.93
 610018    2229.0      9.82     11.09     13.14
 610126    5362.0      3.87      3.88     14.14
 620041    4905.0      6.84      7.90     11.93
 620087    4907.0     10.30     10.87     11.70
 620110    5455.0      4.36      4.88     13.67
 620162    2967.0      7.40      7.90     12.20
 620200    2860.0     10.10     11.02     11.22
 620203    5046.0     13.07     15.72     12.73
 630027    5708.0      2.37      2.44     14.56
 630028    6222.0      4.60      4.77     13.28
 630217    5162.0      5.71      6.41     13.00
 630233    2017.0     52.38     59.01     10.65
 630257    2112.0     15.00     15.84     12.67
