#---- ------------------- ------- ----- -----
#                                 logMH logM 
#                                 I ([M HI/* 
#GASS  SDSS               zSDSS   sun]) ([-])
#---- ------------------- ------- ----- -----
45254 J141830.77+291012.3  0.0349  9.66 -1.37
 7405 J141837.70+020245.4  0.0256  9.58 -0.95
28703 J142802.34+120134.9  0.0267  9.06 -1.10
 9615 J143001.87+032352.1  0.0333  9.41 -0.74
38198 J143134.60+244053.6  0.0378  9.70 -0.95
31095 J143749.60+064454.3  0.0290  9.61 -0.47
 9938 J144140.50+040347.1  0.0275  8.71 -1.37
41699 J144213.77+084036.0  0.0341  8.62 -2.30
 9942 J144325.65+042244.6  0.0264  8.95 -1.87
41718 J144338.96+083350.7  0.0346  8.81 -1.65
10032 J145024.11+043655.2  0.0468  9.40 -1.42
42233 J145304.36+310406.0  0.0323  9.42 -1.07
10005 J145307.29+033217.4  0.0334  8.78 -1.69
42191 J145403.73+305046.4  0.0320  8.82 -1.30
41743 J150204.10+064922.9  0.0462  9.60 -0.85
39082 J150721.51+095541.0  0.0352  9.21 -1.81
41869 J150921.50+070439.8  0.0414  9.29 -0.86
41863 J151028.90+072455.4  0.0322  9.81 -0.30
 7813 J151243.59+012752.2  0.0293  9.27 -1.52
28317 J154408.13+274024.3  0.0316  9.09 -0.98
25721 J155506.74+093023.0  0.0341  8.88 -1.21
11086 J225524.42+131453.8  0.0329  9.32 -1.11
11312 J231225.98+135450.1  0.0339  9.58 -0.86
11193 J231321.76+141648.8  0.0394  8.82 -1.68
11192 J231340.27+140127.7  0.0399  9.85 -0.71
11292 J231608.02+134918.4  0.0389  9.32 -1.22
11291 J231616.05+135042.9  0.0386  9.75 -0.64
11347 J231647.75+153459.7  0.0388  9.80 -1.07
11444 J232114.19+131851.2  0.0420  9.96 -0.73
11435 J232321.31+141704.4  0.0434  9.42 -1.55
11434 J232326.70+140753.9  0.0417  9.75 -1.21
11509 J232407.17+145006.6  0.0384  8.72 -1.78
11676 J232711.15+144546.3  0.0418  9.56 -1.02
11669 J232713.50+152831.1  0.0466  9.64 -1.10
11685 J232749.71+150709.1  0.0419  9.77 -1.39
11571 J232934.08+132718.3  0.0337  9.86 -0.43
11573 J233011.60+132656.3  0.0386  8.70 -1.77
